position_id,strategy_id,side,evento,reason_name,t_epoch,precio_real,delta_precio_open,delta_t_open_s,spread_open,spread_close,lado,n_ticks_segundo,hit_exacto_segundo,dentro_rango_segundo,dist_min_segundo,q_min_segundo,q_max_segundo,hit_exacto_segundo_lado_opuesto,q_vigente,hit_exacto_vigente,delta_vigente,spread_tick_vigente,n_ticks_1,hit_exacto_1,dentro_rango_1,dist_min_1,n_ticks_2,hit_exacto_2,dentro_rango_2,dist_min_2,n_ticks_5,hit_exacto_5,dentro_rango_5,dist_min_5,n_ticks_30,hit_exacto_30,dentro_rango_30,dist_min_30
55218420,SAR::S6-K2P0,BUY,CLOSE,SL,1785290196,4031.84,,,0.5,,bid,14,False,True,0.02999999999974534,4031.68,4032.3,False,4031.89,False,-0.04999999999972715,0.5,20,False,True,0.02999999999974534,34,False,True,0.02999999999974534,80,False,True,0.009999999999763531,417,True,True,0.0
55218462,SAR::S6-K2P0,BUY,OPEN,,1785290211,4032.39,-0.4200000000000727,-30.769999980926517,0.5,,ask,5,True,True,0.0,4032.38,4032.48,False,4032.38,False,0.009999999999763531,0.5,13,True,True,0.0,32,True,True,0.0,71,True,True,0.0,431,True,True,0.0
55218462,SAR::S6-K2P0,BUY,CLOSE,EXPERT,1785290227,4031.83,,,0.5,,bid,5,True,True,0.0,4031.83,4031.92,False,4031.87,False,-0.03999999999996362,0.5,10,True,True,0.0,20,True,True,0.0,73,True,True,0.0,409,True,True,0.0
55218465,SAR::S6-K2P0,BUY,OPEN,,1785290243,4032.85,-42.5,-66564.0,0.5,,ask,5,True,True,0.0,4032.85,4032.91,False,4032.81,False,0.03999999999996362,0.5,8,True,True,0.0,22,True,True,0.0,66,True,True,0.0,394,True,True,0.0
55218465,SAR::S6-K2P0,BUY,CLOSE,SL,1785299155,4036.86,,,0.5,,bid,8,True,True,0.0,4036.86,4036.93,False,4037.0,False,-0.13999999999987267,0.599999999999909,10,True,True,0.0,27,True,True,0.0,74,True,True,0.0,355,True,True,0.0
55229918,SAR::S6-K2P0,BUY,OPEN,,1785350706,4081.81,6.150000000000091,-6147.0,0.5,,ask,4,True,True,0.0,4081.74,4081.81,False,4081.74,False,0.07000000000016371,0.5,6,True,True,0.0,13,True,True,0.0,33,True,True,0.0,231,True,True,0.0
55229918,SAR::S6-K2P0,BUY,CLOSE,SL,1785356798,4074.74,,,0.5,,bid,17,False,True,0.06999999999970896,4074.54,4075.02,False,4074.94,False,-0.20000000000027285,0.5,33,False,True,0.06999999999970896,57,False,True,0.02999999999974534,142,False,True,0.02999999999974534,718,False,True,0.009999999999763531
55229919,SuperTrend::SuperTrend-p14x3-M15,SELL,OPEN,,1785350706,4081.31,15.039999999999964,6364.380055427551,0.5,,bid,4,True,True,0.0,4081.24,4081.31,False,4081.24,False,0.07000000000016371,0.5,6,True,True,0.0,13,True,True,0.0,33,True,True,0.0,231,True,True,0.0
55229919,SuperTrend::SuperTrend-p14x3-M15,SELL,CLOSE,CLIENT_manual,1785381578,4050.82,,,0.5,,ask,2,True,True,0.0,4050.82,4050.83,False,4050.85,False,-0.02999999999974534,0.599999999999909,6,True,True,0.0,22,True,True,0.0,65,True,True,0.0,439,True,True,0.0
55230389,SAR::S6-K2P0,BUY,OPEN,,1785356808,4075.34,0.0199999999999818,-60.769999980926514,0.5,,ask,8,False,True,0.009999999999763531,4075.23,4075.35,False,4075.34,True,0.0,0.5,15,True,True,0.0,38,True,True,0.0,94,True,True,0.0,647,True,True,0.0
