R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
6375223.749999898,relief0.00-u0,0.5,5002.26,0,5002.26,4987.38,4987.82,F3,False,4684616.49,1352306.0000000477,1331234.7500000477,S6-K2P0|F3|1771198200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771203600,1771198200,1771199100.0,1771202700
2439582.499999847,relief0.00-u0,0.5,4989.75,0,4989.75,4950.12,4950.46,F1,False,4672900.875,3679508.4999999967,3658437.2499999967,S6-K2P0|F1|1771273800|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771280100,1771273800,1771274700.0,1771279200
2439582.499999847,relief0.00-u0,0.5,4989.75,0,4989.75,4950.12,4950.46,F2,False,4672900.875,3679508.4999999967,3658437.2499999967,S6-K2P0|F2|1771273800|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771280100,1771273800,1771274700.0,1771279200
2439582.499999847,relief0.00-u0,0.5,4989.75,0,4989.75,4950.12,4950.46,F3,False,4672900.875,3679508.4999999967,3658437.2499999967,S6-K2P0|F3|1771273800|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771280100,1771273800,1771274700.0,1771279200
2442391.999999993,relief0.00-u0,0.5,4957.34,0,4957.55,4964.97,4965.52,F1,False,4642745.575,-746390.5000000239,-767461.7500000239,S6-K2P0|F1|1771281900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771283700,1771281900,1771282800.0,1771282800
2442391.999999993,relief0.00-u0,0.5,4957.34,0,4957.55,4964.97,4965.52,F2,False,4642745.575,-746390.5000000239,-767461.7500000239,S6-K2P0|F2|1771281900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771283700,1771281900,1771282800.0,1771282800
2442391.999999993,relief0.00-u0,0.5,4957.34,0,4957.55,4964.97,4965.52,F3,False,4642745.575,-746390.5000000239,-767461.7500000239,S6-K2P0|F3|1771281900|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771283700,1771281900,1771282800.0,1771282800
3306313.2499999423,relief0.00-u0,0.5,4961.37,0,4961.37,4952.05,4952.55,F1,False,4646323.005,825992.9999999728,804921.7499999728,S6-K2P0|F1|1771286400|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771292700,1771286400,1771287300.0,1771291800
3306313.2499999423,relief0.00-u0,0.5,4961.37,0,4961.37,4952.05,4952.55,F2,False,4646323.005,825992.9999999728,804921.7499999728,S6-K2P0|F2|1771286400|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771292700,1771286400,1771287300.0,1771291800
3306313.2499999423,relief0.00-u0,0.5,4961.37,0,4961.37,4952.05,4952.55,F3,False,4646323.005,825992.9999999728,804921.7499999728,S6-K2P0|F3|1771286400|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771292700,1771286400,1771287300.0,1771291800
